County,State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Kodiak Island,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,1
Lexington City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,8.68920985154716,3.91061763941371,2.55766582596363,2.02991329521029,1.75740797855267,1.59636373445353,0.746757598318022,0.392530596397135,0.480192234492513,0.619327160468578,0.791714562345114,1.00111966041475,1.24946682734281,1.53576116886375,1.85520615224847,2.19892061155863,2.55458639262052,3
Lynchburg City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,9.08621383772119,4.43450178540148,3.79098612527967,3.40175383007191,2.9556838147657,2.96356105156337,2.51309718736825,1.73507439310735,1.67516905328123,1.34297703341438,1.25309318009916,2.42904666069913,1.79933129962757,1.38826600176284,1.86506498175148,1.91829221264948,1.62577979035231,1.48986425679084,0.823534553470967,0.876132217762048,0.860136294271375,0.767741314663953,0.541787100528987,0.598845128620964,0.507254427644288,38
Manassas City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,8.68920985154716,3.91061763941371,3.19708228245453,2.85619345825398,2.90635072593839,2.48538449455033,1.72385516139189,1.85351923960992,1.802087700267,1.570616234989,1.28238118998261,1.33094955849637,1.50683216066353,1.29330608128236,1.41780434036927,1.62458666303405,1.82060612307331,1.58913274721021,1.67215724679574,1.78827026738653,1.76422887292723,1.70710389055321,1.72552659157104,1.67875285130686,1.80064439993525,1.45640098729949,96
Manassas Park City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,3.25166002667585,2.67447615907669,1.43916646924436,2.73803371849074,2.4148708630175,2.45095382866348,2.03378236104137,2.07520374757807,2.68921709436445,2.14398124564523,1.34811483217441,1.76070507289627,1.61305935787269,1.72783262578039,1.93153412282415,1.33187948759088,1.61466289257881,1.95336716299777,30
Matanuska-Susitna,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,6.51690738866037,3.36064491168852,2.46389760546962,2.05235421301024,1.82347392207443,1.68247357135211,1.06005149439819,1.09027936276974,1.78919537667669,1.77680559519093,1.65238115187789,1.56977379430887,1.51293502862502,0.981906004761036,1.02710024941321,1.13537916496648,1.84959797729064,3.64238024310307,3.21816753717268,3.59822235018818,2.52360841487535,2.06522698793189,1.56437537641857,1.25986763093473,0.836370832134926,0.977352133265726,0.639211298201974,0.824514215306684,19
Maui,NaN,5,5,5,5,5,5,5,10,9.08621383772119,4.43450178540148,3.79098612527967,4.08210459608629,2.77757509134975,2.74383475338083,2.40404715134986,1.69032067354473,1.46404048294321,1.86577188075461,1.51277985537166,1.62771745324712,1.2365744903416,1.39531605999241,1.88687486164554,1.66587918868151,1.19711738268381,1.12686009346021,1.66444998959537,1.6821574607158,1.54287389261058,1.1536091429304,1.31338971170016,1.52436551876818,1.49665073692216,1.35762656085783,1.74338977671688,1.52161156040953,1.38263666145975,1.21516587092253,1.096049062888,1.06938384826076,1.00271973217599,0.676361724354989,0.653206213912426,0.713972524135966,108
Nome,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,2.16777335111723,1
Norton City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,9.08621383772119,4.43450178540148,2
Petersburg Borough,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,3.61068188129305,2.84960848504645,2.24234122820204,1.28854195561273,1.26344076177752,1.34426678649516,1.41215503041873,0.733931044169478,0.83895155434538,1.05771039665394,1.31547789033439,1.61040304927405,1.93669409852528,4.56907681505486,3.93069705288488,3
Poquoson City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,5.49105697733272,3.57584704722633,2.54839640060692,2.09585430204559,2.46546430647622,1.58217283468767,1.43540791954838,0.944583121041854,0.996160063518471,1.10682197227309,1.81145399143412,1.19549978379288,1.79237570969458,2.37221532746662,2.05755797009388,1.77290527378596,1.60594618273398,1.12485524330692,1.1238903816591,0.783494007853637,0.428292783206004,0.520116946872171,0.669107461757691,0.852654061716504,6
Portsmouth City,NaN,5,5,5,5,5,5,5,5,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,4.81424250839074,3.38138641735563,2.37497216217351,1.45565106864603,1.80680972696055,1.70898095702853,1.5660710939708,3.68369204031421,3.04177715620892,2.72683783954963,2.2112016425177,2.70320361444218,2.09772222905852,1.74461629529171,1.56395133795142,1.61935396925547,1.45053164577295,1.45240793261324,1.00184994133307,1.05200564161812,1.13827611713386,0.959677420287998,0.759016837319278,0.794110494914682,0.711014247274232,0.807864062478393,0.760604316911003,0.645656595837263,65
