State,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,Total_Cases
Mississippi,5,5,5,5,10,21.2011656213494,9.18813988493115,3.71472512779074,2.73097926196402,3.45235981236949,3.89223389762563,3.64474484155842,3.61252767682283,4.21451352720529,4.03355985225797,3.05254559315824,2.60623360406064,2.27136324277307,2.25708715880578,1.67459461127165,1.20735791311925,1.78934111564218,1.73944793753007,1.55296962078436,1.51854274649366,1.37823422885229,1.57691633196114,1.60069028934607,1.28731779507775,1.19942858098892,1.2578199327003,1.14979036845852,1.2678597032333,1.24920022877815,1.25670785610741,1.14840501274738,1.15914347366307,1.09360667242498,1.23340169898865,1.19269357740678,1.10718588734731,1.07956426768822,1.18833968059645,1.21082599226303,4508
Missouri,10,6.05747589181412,3.66070465155515,2.82170413630682,3.61068188129305,4.74934747507742,3.75415674838317,2.10526470032841,2.37537363524309,1.98938889918537,3.5841949257007,4.36515941251401,6.78740647017951,4.63408357149935,3.11793109201414,3.7573052597748,3.5576554432773,3.26438039822029,3.1407722747321,2.82737534132921,2.52865941568515,2.01806330414486,1.76108749514229,1.91772362509247,1.85979593526535,1.70451166708286,1.58858924959511,1.4157801719264,1.30981476091877,1.39520692222596,1.30425594859785,1.23947175028652,1.14718515945239,1.0854788110668,1.09928275322704,1.10926739406259,1.0066666694893,0.985257531791857,0.939188141527831,0.949998425676764,0.910793736413226,0.925789942834054,0.949017179506946,0.91050060818212,5799
Montana,5,5,5,5,5,25,9.71302044318348,3.79257300698389,3.0739259372396,2.24921497883648,1.78399948993412,1.88712511790172,2.39572331349074,2.68143042440569,2.70418434733027,2.66876263868544,2.33050646318841,2.39531132933386,2.60121845185249,2.53789438566228,2.29387270032123,1.90296144301106,1.63529932298818,1.58490319787183,1.45740610504047,1.31755416216999,1.14317783230144,1.03427931308282,1.02730173975674,1.06793638639772,0.900949433012608,0.86282375203394,0.704057633968353,0.571959777086478,0.456769707810938,0.365001596342202,0.16540395280366,0.201467149042127,0.0180177468846655,1.98633125666012,2.1763989607035,1.79517856787968,1.62144521377982,1.42390758455881,436
Nebraska,3.66070465155515,7.05426034076706,4.91247778899266,5.25861659755823,3.41382896077392,2.44976523838127,2.60815228920163,2.02951747809833,1.3711753049936,1.65222620434612,1.43110895136989,1.43654653191011,1.52198856891376,1.62219173996778,1.50591800361195,1.49802534320165,1.23659468404314,1.2806830407316,1.64274094711766,1.55945274194628,1.66497927840192,2.02580002871852,2.17213645729096,2.15696203361004,2.16793274259603,2.16926108995403,1.97858735017941,1.75975132800719,1.606082332848,1.5655739762933,1.7017146983587,1.53962919696692,1.39037337076065,1.4274773192533,1.39546160314611,1.34199989931162,1.32810177165076,1.13154327041196,1.077419878297,1.03021501056669,0.948346078463262,1.22720621797827,1.15482958803879,1.15189144245644,1292
Nevada,4.73873265659959,3.12499887669232,3.56163491778823,2.56225906399003,2.6597934064443,3.59322478240141,2.64904019154842,2.22720050875873,3.25013190410827,2.76813499866639,2.00387967079295,2.66848144353825,3.43987971232313,2.42405901753134,1.73453345569272,1.53838499722039,2.25467459073382,2.13448027656957,2.17726486276473,1.96466475457831,2.1185057991908,1.79014694681121,2.12665907869605,1.909630424085,1.75951131555718,1.65203950403618,1.60856856779794,1.4796400504801,1.46183393586708,1.19151078866951,1.12325104534255,1.1398692859978,1.09405427997256,1.03046310121581,0.865129562115562,0.761238592267461,0.686758066155393,0.55879375551228,0.413377912468142,1.19330655917081,1.19584204408735,1.3625187884737,1.40677007375491,1.39854658147429,3797
New Hampshire,2.91689734628774,1.90909289535075,1.60762202067078,1.50090503960756,1.78698831708277,1.65121161940041,1.80759461056949,2.72600952189678,3.06366263420926,3.52501279478684,3.88374596219852,2.83984374862136,2.53356861815402,2.28985852516774,2.05067309710368,2.18037121282022,1.71319546242364,1.73104756304582,1.74075342036687,1.77316936080754,1.72520176433072,1.88940695938898,1.40926234405067,1.38142004693921,1.07930190534928,2.15800785675165,2.05017396319819,1.88903694356419,1.55292972228448,1.53718589705411,1.41011539445336,1.39971046542268,0.801984665618838,0.890869254822758,0.835848691720672,0.887057294946738,0.867457668173119,1.00963016497101,1.04871827122074,1.24921625960866,1.13406132966969,1.13290497400474,1.08417843530793,1.10959754044992,1443
New Jersey,4.05974835252115,7.00343773864009,3.71157139445119,2.28016194253813,3.09368490972399,4.28301377946794,3.63013000428473,3.21686138011036,3.84228131503247,3.70498073362175,3.91545456490784,4.01928337981575,3.13662467642337,3.2196816279688,3.23337976223455,3.17634809464773,2.73596820591678,2.2071088315403,2.68341925687704,2.60795531738936,2.31885665462052,2.18313339347835,2.08684106223655,1.96260580629639,1.93618030833128,1.73845926308635,1.76987849760969,1.82900455875064,1.66906433902922,1.53751394179182,1.50220820683947,1.41156800127284,1.33283494168504,1.2178110093904,1.08032149068524,1.04468176604865,0.991027038475384,0.95449554439426,0.916775000250582,0.949601038978045,0.946731660398516,0.942844061393467,0.983061136698954,1.01583281727318,88137
New Mexico,5,5,5,20,10.1606814002366,7.33641582470579,4.56038977774782,2.67562970940533,3.0502433110019,2.46357918764913,2.02336886054302,1.97673278195409,1.81831552078957,2.05034840996238,2.02476558949756,1.95604332323767,1.92288823788735,1.88176566817595,1.9083300877576,2.40107885235634,1.91843613789732,1.75046445419643,1.77146373508686,1.68963236214047,1.66743291219516,1.56040494038661,1.54554134463736,1.55684469255369,1.62166330827302,1.49455243473583,1.58380635124416,1.49076147385211,1.56001965170351,1.43087613544832,1.36846013245013,1.24395298660178,1.24219236367026,0.988179962871093,0.844533794427805,1.09582880050125,1.12349152350949,1.09864026625764,1.03215480100709,1.06348383822593,1971
New York,5.15291425858166,3.73314053718662,2.83611732169672,2.31966953548265,2.76406316528601,2.38725902033716,2.37847773284336,2.20705961401855,2.25608603887395,3.59858946081103,5.2086032172422,5.63001675807668,4.30360846414592,3.99450000806439,3.30187963234122,2.96018360123967,2.52948440455028,2.36381354519943,2.05194661531946,1.84038326937205,1.72609984376065,1.57227995302409,1.47625269878701,1.4087924339741,1.29801185156476,1.26495888008347,1.36659586006201,1.31430433441373,1.27233030161934,1.21251616972962,1.16886101975893,1.17249972163215,1.16754176660826,1.0821381807823,1.05171959657766,1.03546641523931,0.990410366426637,0.973485474539761,0.994942098393413,0.967816827148003,0.921943703409352,0.888205054391858,0.87440837419903,0.872073657366124,247512
North Dakota,5,5,5,5,10,6.05747589181412,3.66070465155515,2.82170413630682,2.40712125419537,6.5033200533517,5.29021257075577,7.06565804096799,4.9599303451811,2.98712620476316,2.21122684370785,1.8587848492295,1.56446340256119,1.68649752522308,1.53592721165531,1.47288589079929,2.05790057639805,1.80934796488523,1.74471306084885,1.76362247299669,1.72664801331321,1.48241194023674,1.37705997912844,1.1255249390822,1.27084645888426,1.28554805298772,1.15988253979747,1.04175697363018,1.0832769019518,1.02239015306646,1.03202647377458,0.971004242722735,1.02099033686073,1.00424338321832,1.09832935535868,1.18057278397878,1.0617846909784,0.903448255345493,0.776959837470575,2.79848611032941,627
Ohio,5,20,6.77378760015775,4.03541902193376,3.23180940850795,5.44934225415343,6.09710959653298,4.72220836480241,3.4602030599223,3.09948044561545,2.79436874299114,2.83118374290036,2.84841780019089,2.96272204326033,3.02001015183126,2.6239537054328,2.53994159831068,2.40811253821373,2.23547091479236,2.31286697493416,2.19261291642907,1.96505232444377,1.8697966637134,1.71359465304593,1.66479756005413,1.61411458874372,1.51623592726311,1.45573344054433,1.3539004398687,1.31112372502118,1.26261599787111,1.19809907174959,1.14650316322227,1.08811244219648,1.04023512451577,1.04817834999845,1.02421730549591,1.00441835750946,1.05970479076851,1.15320817901874,1.2523862664555,1.46771813004739,1.69620597926725,1.7924262167954,12913
Oklahoma,6.05747589181412,5.49105697733272,3.57584704722633,2.54839640060692,2.79447240272746,2.85293195973037,1.78374778122738,3.0783559864558,2.75323131373983,3.65628389338077,4.48893088206613,4.08896787289659,2.87732300311609,2.20697985139674,2.08485909798873,2.04803030479773,2.10805796350733,2.60931548998137,2.98557213658927,2.10461227482364,2.74029583292737,2.35239627595319,1.985322948972,1.87217402172045,1.90285333357683,1.83360358256814,1.82370378508116,1.63076158611772,1.49763732726753,1.3816179280565,1.35435162905664,1.11791517722778,1.07060965046851,1.05127526519594,0.919361331408781,0.935526813528977,0.977328943857635,0.952718060275587,0.99544197939005,0.913062496789438,0.774502442243109,0.694623524598951,0.586400034415306,0.486334831415758,2355
Oregon,6.44092599049735,3.02488443296766,2.16618305886803,2.29002639507899,2.40930942581218,2.42658593367348,2.10585167130946,1.42757213458346,1.65522664780176,2.24272170536863,2.03247482389549,1.9212660210326,2.10845591970947,2.08787412523851,2.05510962909533,1.97637646905144,1.65042512411035,1.88715361606073,1.92550193310874,2.13193005918078,1.99342869756425,1.85311769182599,1.67576983819347,1.67933686053152,1.44086145300647,1.40505186669987,1.22671392688688,1.23894278201373,1.1790529482495,1.14638855501257,1.03530673424699,1.04272228300053,1.01879274297041,0.965654725983289,0.917839666106439,0.956503952717699,0.951309465353287,0.963314425008035,0.912708752714275,0.906989404696232,0.92220392117034,0.899421695296994,0.888200135520386,0.884518458487295,1953
Rhode Island,1.52666675417553,0.933792193069217,0.987119755933445,1.09842259039404,1.20011156386898,3.22461444065989,2.15754477602798,1.73397894244775,1.58177457354255,1.48389282966582,1.41795488822239,1.37213586499278,0.334901607897556,0.377552833598104,0.490173420086698,0.631796119080015,0.807014833089784,102.96812721099,9.56253522871286,4.07015347762095,3.17668068170741,2.4846850285384,2.37671096447464,2.50845946726956,1.95371203363486,1.62572801715857,1.32039840141232,1.16839787962288,1.41562251543486,1.56522774746003,1.46730555956836,1.39483376116599,1.49329637039583,1.37616001189386,1.85045174390969,1.42679356256141,1.06238456280943,1.90185792913472,1.69384095680084,1.66302601909537,1.74981898434954,1.48272263652956,1.52730997781719,1.52181890660915,4229
